2023-04-07 13:36:03.839 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: [BootstrapPropertySource {name='bootstrapProperties-dandelion-web-dev.yaml,WEB'}, BootstrapPropertySource {name='bootstrapProperties-dandelion-web.yaml,WEB'}, BootstrapPropertySource {name='bootstrapProperties-dandelion-web,WEB'}]
2023-04-07 13:36:05.940 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2023-04-07 13:36:06.402 [main] INFO  o.s.cloud.openfeign.FeignClientFactoryBean - For 'dandelion-cron' URL not provided. Will try picking an instance via load-balancing.
2023-04-07 13:36:07.712 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2023-04-07 13:36:08.935 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2023-04-07 13:36:09.140 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-07 13:36:09.162 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-07 13:36:09.177 [main] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP dandelion-web 192.168.91.1:8080 register finished
2023-04-07 13:36:10.266 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2023-04-07 13:36:10.292 [main] INFO  net.syl.dandelion.web.WebApplication - Started WebApplication in 9.487 seconds (JVM running for 10.316)
2023-04-07 13:36:10.295 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=dandelion-web, group=WEB
2023-04-07 13:36:10.299 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=dandelion-web-dev.yaml, group=WEB
2023-04-07 13:36:10.300 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=dandelion-web.yaml, group=WEB
2023-04-07 13:36:18.433 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-07 13:36:18.433 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-07 13:36:18.434 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-04-07 13:39:19.591 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: [BootstrapPropertySource {name='bootstrapProperties-dandelion-web-dev.yaml,WEB'}, BootstrapPropertySource {name='bootstrapProperties-dandelion-web.yaml,WEB'}, BootstrapPropertySource {name='bootstrapProperties-dandelion-web,WEB'}]
2023-04-07 13:39:19.595 [main] INFO  net.syl.dandelion.web.WebApplication - The following 1 profile is active: "dev"
2023-04-07 13:39:20.046 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-04-07 13:39:20.048 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-07 13:39:20.064 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 5 ms. Found 0 Redis repository interfaces.
2023-04-07 13:39:20.216 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=22b72ce4-5e40-3e1d-8073-4f41a17f2b72
2023-04-07 13:39:20.596 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-07 13:39:20.603 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-07 13:39:20.603 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-07 13:39:20.603 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.62]
2023-04-07 13:39:20.710 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-07 13:39:20.711 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1101 ms
2023-04-07 13:39:20.965 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2023-04-07 13:39:21.339 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2023-04-07 13:39:21.794 [main] INFO  o.s.cloud.openfeign.FeignClientFactoryBean - For 'dandelion-cron' URL not provided. Will try picking an instance via load-balancing.
2023-04-07 13:39:23.106 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2023-04-07 13:39:24.298 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2023-04-07 13:39:24.634 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-07 13:39:24.648 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-07 13:39:24.653 [main] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP dandelion-web 192.168.91.1:8080 register finished
2023-04-07 13:39:25.726 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2023-04-07 13:39:25.750 [main] INFO  net.syl.dandelion.web.WebApplication - Started WebApplication in 9.145 seconds (JVM running for 9.871)
2023-04-07 13:39:25.753 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=dandelion-web, group=WEB
2023-04-07 13:39:25.755 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=dandelion-web-dev.yaml, group=WEB
2023-04-07 13:39:25.755 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=dandelion-web.yaml, group=WEB
2023-04-07 13:40:03.650 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-07 13:40:03.650 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-07 13:40:03.651 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2023-04-07 13:42:41.082 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: [BootstrapPropertySource {name='bootstrapProperties-dandelion-web-dev.yaml,WEB'}, BootstrapPropertySource {name='bootstrapProperties-dandelion-web.yaml,WEB'}, BootstrapPropertySource {name='bootstrapProperties-dandelion-web,WEB'}]
2023-04-07 13:42:41.086 [main] INFO  net.syl.dandelion.web.WebApplication - The following 1 profile is active: "dev"
2023-04-07 13:42:41.547 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-04-07 13:42:41.549 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-07 13:42:41.564 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 4 ms. Found 0 Redis repository interfaces.
2023-04-07 13:42:41.718 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=22b72ce4-5e40-3e1d-8073-4f41a17f2b72
2023-04-07 13:42:42.092 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-07 13:42:42.099 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-07 13:42:42.100 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-07 13:42:42.100 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.62]
2023-04-07 13:42:42.210 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-07 13:42:42.210 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1109 ms
2023-04-07 13:42:42.465 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2023-04-07 13:42:42.834 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2023-04-07 13:42:43.312 [main] INFO  o.s.cloud.openfeign.FeignClientFactoryBean - For 'dandelion-cron' URL not provided. Will try picking an instance via load-balancing.
2023-04-07 13:42:44.615 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2023-04-07 13:42:45.826 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2023-04-07 13:42:46.036 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-07 13:42:46.051 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-07 13:42:46.056 [main] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP dandelion-web 192.168.91.1:8080 register finished
2023-04-07 13:42:47.124 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2023-04-07 13:42:47.148 [main] INFO  net.syl.dandelion.web.WebApplication - Started WebApplication in 9.014 seconds (JVM running for 9.719)
2023-04-07 13:42:47.151 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=dandelion-web, group=WEB
2023-04-07 13:42:47.152 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=dandelion-web-dev.yaml, group=WEB
2023-04-07 13:42:47.153 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=dandelion-web.yaml, group=WEB
2023-04-07 13:42:58.359 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-07 13:42:58.359 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-07 13:42:58.360 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-04-07 15:21:56.933 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: [BootstrapPropertySource {name='bootstrapProperties-dandelion-web-dev.yaml,WEB'}, BootstrapPropertySource {name='bootstrapProperties-dandelion-web.yaml,WEB'}, BootstrapPropertySource {name='bootstrapProperties-dandelion-web,WEB'}]
2023-04-07 15:21:56.937 [main] INFO  net.syl.dandelion.web.WebApplication - The following 1 profile is active: "dev"
2023-04-07 15:21:57.436 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-04-07 15:21:57.438 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-07 15:21:57.454 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 5 ms. Found 0 Redis repository interfaces.
2023-04-07 15:21:57.609 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=22b72ce4-5e40-3e1d-8073-4f41a17f2b72
2023-04-07 15:21:57.994 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-07 15:21:58.001 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-07 15:21:58.002 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-07 15:21:58.002 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.62]
2023-04-07 15:21:58.112 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-07 15:21:58.112 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1160 ms
2023-04-07 15:21:58.370 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2023-04-07 15:21:58.749 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2023-04-07 15:21:59.214 [main] INFO  o.s.cloud.openfeign.FeignClientFactoryBean - For 'dandelion-cron' URL not provided. Will try picking an instance via load-balancing.
2023-04-07 15:22:00.540 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2023-04-07 15:22:01.759 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2023-04-07 15:22:01.976 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-07 15:22:01.989 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-07 15:22:01.995 [main] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP dandelion-web 192.168.91.1:8080 register finished
2023-04-07 15:22:03.072 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2023-04-07 15:22:03.095 [main] INFO  net.syl.dandelion.web.WebApplication - Started WebApplication in 9.155 seconds (JVM running for 9.858)
2023-04-07 15:22:03.099 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=dandelion-web, group=WEB
2023-04-07 15:22:03.100 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=dandelion-web-dev.yaml, group=WEB
2023-04-07 15:22:03.100 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=dandelion-web.yaml, group=WEB
2023-04-07 15:23:50.546 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-07 15:23:50.547 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-07 15:23:50.548 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-04-07 15:25:28.791 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: [BootstrapPropertySource {name='bootstrapProperties-dandelion-web-dev.yaml,WEB'}, BootstrapPropertySource {name='bootstrapProperties-dandelion-web.yaml,WEB'}, BootstrapPropertySource {name='bootstrapProperties-dandelion-web,WEB'}]
2023-04-07 15:25:28.795 [main] INFO  net.syl.dandelion.web.WebApplication - The following 1 profile is active: "dev"
2023-04-07 15:25:29.347 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-04-07 15:25:29.351 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-07 15:25:29.378 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7 ms. Found 0 Redis repository interfaces.
2023-04-07 15:25:29.547 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=22b72ce4-5e40-3e1d-8073-4f41a17f2b72
2023-04-07 15:25:29.943 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-07 15:25:29.950 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-07 15:25:29.950 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-07 15:25:29.951 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.62]
2023-04-07 15:25:30.064 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-07 15:25:30.064 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1253 ms
2023-04-07 15:25:30.347 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2023-04-07 15:25:30.756 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2023-04-07 15:25:31.263 [main] INFO  o.s.cloud.openfeign.FeignClientFactoryBean - For 'dandelion-cron' URL not provided. Will try picking an instance via load-balancing.
2023-04-07 15:25:32.581 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2023-04-07 15:25:33.781 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2023-04-07 15:25:33.977 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-07 15:25:33.991 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-07 15:25:33.997 [main] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP dandelion-web 192.168.91.1:8080 register finished
2023-04-07 15:25:35.095 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2023-04-07 15:25:35.117 [main] INFO  net.syl.dandelion.web.WebApplication - Started WebApplication in 9.345 seconds (JVM running for 10.051)
2023-04-07 15:25:35.120 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=dandelion-web, group=WEB
2023-04-07 15:25:35.122 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=dandelion-web-dev.yaml, group=WEB
2023-04-07 15:25:35.122 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=dandelion-web.yaml, group=WEB
2023-04-07 15:25:53.541 [http-nio-8080-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-07 15:25:53.541 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-07 15:25:53.542 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-04-07 15:28:29.556 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: [BootstrapPropertySource {name='bootstrapProperties-dandelion-web-dev.yaml,WEB'}, BootstrapPropertySource {name='bootstrapProperties-dandelion-web.yaml,WEB'}, BootstrapPropertySource {name='bootstrapProperties-dandelion-web,WEB'}]
2023-04-07 15:28:29.560 [main] INFO  net.syl.dandelion.web.WebApplication - The following 1 profile is active: "dev"
2023-04-07 15:28:30.024 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-04-07 15:28:30.025 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-07 15:28:30.042 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 5 ms. Found 0 Redis repository interfaces.
2023-04-07 15:28:30.228 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=22b72ce4-5e40-3e1d-8073-4f41a17f2b72
2023-04-07 15:28:30.628 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-07 15:28:30.634 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-07 15:28:30.635 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-07 15:28:30.635 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.62]
2023-04-07 15:28:30.743 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-07 15:28:30.744 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1169 ms
2023-04-07 15:28:30.991 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2023-04-07 15:28:31.357 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2023-04-07 15:28:31.807 [main] INFO  o.s.cloud.openfeign.FeignClientFactoryBean - For 'dandelion-cron' URL not provided. Will try picking an instance via load-balancing.
2023-04-07 15:28:33.144 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2023-04-07 15:28:34.350 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2023-04-07 15:28:34.555 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-07 15:28:34.570 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-07 15:28:34.576 [main] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP dandelion-web 192.168.91.1:8080 register finished
2023-04-07 15:28:35.658 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2023-04-07 15:28:35.682 [main] INFO  net.syl.dandelion.web.WebApplication - Started WebApplication in 9.473 seconds (JVM running for 10.187)
2023-04-07 15:28:35.685 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=dandelion-web, group=WEB
2023-04-07 15:28:35.687 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=dandelion-web-dev.yaml, group=WEB
2023-04-07 15:28:35.687 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=dandelion-web.yaml, group=WEB
2023-04-07 15:28:46.704 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-07 15:28:46.704 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-07 15:28:46.705 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-04-07 15:38:42.266 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: [BootstrapPropertySource {name='bootstrapProperties-dandelion-web-dev.yaml,WEB'}, BootstrapPropertySource {name='bootstrapProperties-dandelion-web.yaml,WEB'}, BootstrapPropertySource {name='bootstrapProperties-dandelion-web,WEB'}]
2023-04-07 15:38:42.270 [main] INFO  net.syl.dandelion.web.WebApplication - The following 1 profile is active: "dev"
2023-04-07 15:38:42.758 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-04-07 15:38:42.760 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-07 15:38:42.776 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 4 ms. Found 0 Redis repository interfaces.
2023-04-07 15:38:42.929 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=22b72ce4-5e40-3e1d-8073-4f41a17f2b72
2023-04-07 15:38:43.307 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-07 15:38:43.314 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-07 15:38:43.314 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-07 15:38:43.314 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.62]
2023-04-07 15:38:43.427 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-07 15:38:43.427 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1142 ms
2023-04-07 15:38:43.693 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2023-04-07 15:38:44.076 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2023-04-07 15:38:44.560 [main] INFO  o.s.cloud.openfeign.FeignClientFactoryBean - For 'dandelion-cron' URL not provided. Will try picking an instance via load-balancing.
2023-04-07 15:38:45.884 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2023-04-07 15:38:47.078 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2023-04-07 15:38:47.288 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-07 15:38:47.302 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-07 15:38:47.307 [main] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP dandelion-web 192.168.91.1:8080 register finished
2023-04-07 15:38:48.390 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2023-04-07 15:38:48.413 [main] INFO  net.syl.dandelion.web.WebApplication - Started WebApplication in 9.221 seconds (JVM running for 10.095)
